@relation 1merLabeled

@attribute A real 
@attribute R real
@attribute N real
@attribute D real
@attribute C real
@attribute E real
@attribute Q real
@attribute G real
@attribute H real
@attribute I real
@attribute L real
@attribute K real
@attribute M real
@attribute F real
@attribute P real
@attribute S real
@attribute T real
@attribute W real
@attribute Y real
@attribute V real
@attribute errorPercent real

@data
0.000,0.071,0.000,0.071,0.071,0.071,0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.071,0.214,0.143,0.143,0.000,0.000,0.071,0.626888018973055
0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.100,0.200,0.200,0.000,0.000,0.100,0.895312332254651
0.034,0.034,0.000,0.207,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.448,0.034,0.000,0.000,0.069,0.502765817979467
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.000,0.125,0.125,0.250,0.000,0.000,0.000,0.000,0.000,0.355489771878633
0.261,0.043,0.000,0.130,0.000,0.043,0.130,0.043,0.043,0.000,0.043,0.000,0.000,0.043,0.000,0.043,0.087,0.000,0.000,0.087,0.36055936399513
0.235,0.000,0.059,0.059,0.000,0.059,0.118,0.000,0.000,0.000,0.000,0.118,0.059,0.000,0.059,0.059,0.176,0.000,0.000,0.000,0.604851930656807
0.200,0.067,0.067,0.067,0.000,0.067,0.067,0.000,0.000,0.000,0.133,0.067,0.000,0.000,0.133,0.133,0.000,0.000,0.000,0.000,0.47075035270186
0.083,0.083,0.000,0.000,0.083,0.167,0.083,0.000,0.000,0.167,0.000,0.000,0.000,0.083,0.083,0.000,0.000,0.000,0.083,0.083,0.338647071844169
0.000,0.000,0.091,0.091,0.000,0.182,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.273,0.091,0.000,0.000,0.000,0.000,0.091,0.321478629187524
0.163,0.000,0.020,0.143,0.000,0.102,0.041,0.020,0.020,0.020,0.143,0.000,0.041,0.020,0.122,0.000,0.041,0.000,0.020,0.082,0.318734014111947
0.000,0.000,0.000,0.083,0.083,0.000,0.000,0.250,0.000,0.000,0.167,0.083,0.000,0.083,0.000,0.000,0.083,0.000,0.083,0.083,0.344332510676292
0.000,0.000,0.111,0.056,0.056,0.056,0.056,0.056,0.056,0.111,0.111,0.111,0.056,0.000,0.056,0.000,0.000,0.000,0.000,0.111,0.356665023911218
0.118,0.000,0.000,0.000,0.118,0.235,0.059,0.000,0.000,0.118,0.059,0.059,0.000,0.000,0.059,0.000,0.059,0.000,0.000,0.118,0.302305565074634
0.182,0.045,0.136,0.000,0.000,0.045,0.000,0.091,0.000,0.091,0.045,0.000,0.000,0.000,0.045,0.182,0.000,0.000,0.000,0.136,0.293402288540232
0.083,0.000,0.000,0.250,0.000,0.083,0.000,0.125,0.000,0.042,0.083,0.042,0.042,0.042,0.042,0.042,0.042,0.000,0.000,0.083,0.274052365263781
0.077,0.000,0.000,0.077,0.077,0.231,0.000,0.077,0.000,0.077,0.154,0.077,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.077,0.278152044359227
0.154,0.077,0.000,0.077,0.000,0.077,0.000,0.077,0.077,0.154,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.248512693872337
0.077,0.000,0.000,0.000,0.000,0.231,0.077,0.077,0.000,0.077,0.077,0.077,0.154,0.000,0.000,0.000,0.077,0.000,0.000,0.077,0.286883658069602
0.000,0.000,0.000,0.045,0.000,0.136,0.091,0.000,0.091,0.000,0.182,0.045,0.000,0.000,0.000,0.182,0.136,0.000,0.091,0.000,0.297665845355202
0.136,0.000,0.091,0.000,0.182,0.045,0.000,0.000,0.045,0.091,0.091,0.045,0.000,0.045,0.000,0.045,0.000,0.000,0.091,0.091,0.247869764809458
0.231,0.077,0.000,0.000,0.000,0.077,0.154,0.077,0.000,0.077,0.077,0.000,0.000,0.077,0.000,0.077,0.000,0.000,0.000,0.077,0.263859090149929
0.048,0.000,0.048,0.143,0.000,0.095,0.095,0.000,0.000,0.143,0.048,0.000,0.095,0.000,0.048,0.048,0.048,0.000,0.095,0.048,0.236188871060216
0.158,0.053,0.105,0.053,0.000,0.158,0.000,0.105,0.000,0.053,0.105,0.000,0.000,0.000,0.000,0.053,0.105,0.000,0.000,0.053,0.273788031219709
0.118,0.059,0.118,0.118,0.000,0.000,0.059,0.000,0.118,0.118,0.118,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.059,0.059,0.310549287224467
0.000,0.067,0.000,0.067,0.000,0.133,0.067,0.000,0.067,0.000,0.067,0.000,0.000,0.067,0.133,0.200,0.067,0.000,0.000,0.067,0.353116362124214
0.111,0.000,0.056,0.000,0.000,0.111,0.056,0.056,0.111,0.000,0.111,0.056,0.000,0.000,0.000,0.111,0.056,0.000,0.056,0.111,0.330845813917499
0.100,0.000,0.300,0.050,0.000,0.150,0.000,0.000,0.000,0.150,0.050,0.050,0.050,0.000,0.000,0.050,0.050,0.000,0.000,0.000,0.225156358582349
0.000,0.000,0.158,0.053,0.053,0.158,0.000,0.053,0.000,0.053,0.053,0.053,0.000,0.105,0.000,0.053,0.105,0.000,0.105,0.000,0.223726312519416
0.062,0.062,0.062,0.000,0.000,0.125,0.000,0.000,0.000,0.062,0.188,0.062,0.000,0.062,0.188,0.062,0.000,0.000,0.062,0.000,0.224118725351865
0.100,0.000,0.050,0.100,0.000,0.050,0.100,0.050,0.000,0.100,0.050,0.050,0.000,0.000,0.100,0.150,0.100,0.000,0.000,0.000,0.273610645732612
0.000,0.048,0.000,0.048,0.000,0.238,0.238,0.000,0.048,0.000,0.143,0.000,0.095,0.000,0.048,0.000,0.048,0.000,0.000,0.048,0.23273461744467
0.200,0.067,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.067,0.067,0.000,0.067,0.000,0.067,0.000,0.200,0.000,0.067,0.067,0.250134149667045
0.000,0.000,0.050,0.050,0.050,0.100,0.000,0.100,0.025,0.075,0.050,0.050,0.000,0.075,0.100,0.100,0.050,0.000,0.050,0.075,0.220324675832206
0.353,0.059,0.059,0.000,0.059,0.000,0.000,0.059,0.059,0.118,0.059,0.000,0.000,0.000,0.059,0.059,0.000,0.000,0.000,0.059,0.301727288361494
0.000,0.000,0.056,0.056,0.056,0.111,0.056,0.000,0.000,0.056,0.222,0.056,0.000,0.000,0.000,0.111,0.111,0.000,0.056,0.056,0.213718380885084
0.000,0.062,0.000,0.188,0.000,0.062,0.000,0.125,0.062,0.250,0.062,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.264907800874802
0.000,0.000,0.000,0.062,0.000,0.188,0.000,0.125,0.000,0.062,0.062,0.062,0.125,0.062,0.062,0.125,0.062,0.000,0.000,0.000,0.227433190366216
0.148,0.000,0.074,0.000,0.037,0.074,0.000,0.074,0.037,0.037,0.074,0.037,0.000,0.074,0.037,0.111,0.111,0.000,0.000,0.074,0.215511940245894
0.318,0.045,0.000,0.045,0.000,0.045,0.045,0.091,0.045,0.045,0.091,0.000,0.000,0.000,0.000,0.091,0.045,0.000,0.000,0.091,0.242876652391244
0.125,0.042,0.000,0.042,0.000,0.125,0.000,0.042,0.042,0.042,0.042,0.000,0.000,0.000,0.042,0.042,0.167,0.042,0.083,0.125,0.212789279005364
0.103,0.000,0.000,0.103,0.069,0.207,0.000,0.000,0.034,0.000,0.103,0.000,0.069,0.000,0.207,0.000,0.069,0.000,0.034,0.000,0.243263469739307
0.059,0.000,0.059,0.118,0.000,0.000,0.000,0.176,0.000,0.000,0.118,0.059,0.000,0.000,0.118,0.235,0.059,0.000,0.000,0.000,0.357762878168438
0.050,0.000,0.000,0.050,0.000,0.150,0.000,0.000,0.100,0.000,0.100,0.050,0.000,0.100,0.150,0.150,0.000,0.000,0.000,0.100,0.244798168486613
0.030,0.000,0.000,0.212,0.030,0.182,0.030,0.061,0.030,0.030,0.061,0.030,0.000,0.000,0.030,0.000,0.121,0.000,0.061,0.091,0.213340980245042
0.294,0.059,0.000,0.059,0.059,0.118,0.059,0.000,0.059,0.059,0.059,0.000,0.000,0.059,0.000,0.059,0.000,0.000,0.000,0.059,0.257652776361721
0.100,0.050,0.050,0.100,0.000,0.100,0.050,0.050,0.050,0.050,0.100,0.000,0.000,0.000,0.050,0.000,0.050,0.000,0.000,0.200,0.20276978642234
0.243,0.027,0.000,0.054,0.000,0.108,0.054,0.216,0.000,0.000,0.027,0.027,0.000,0.000,0.054,0.054,0.054,0.000,0.000,0.081,0.282388945562459
0.176,0.000,0.000,0.000,0.000,0.176,0.059,0.059,0.059,0.059,0.000,0.059,0.000,0.000,0.000,0.176,0.000,0.000,0.059,0.118,0.345250861998751
0.095,0.048,0.048,0.095,0.000,0.000,0.000,0.048,0.095,0.048,0.143,0.000,0.048,0.000,0.048,0.048,0.095,0.000,0.048,0.095,0.217785267996895
0.083,0.083,0.000,0.083,0.000,0.167,0.167,0.000,0.000,0.083,0.083,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.083,0.303503365744203
0.154,0.000,0.077,0.000,0.000,0.154,0.000,0.077,0.000,0.000,0.231,0.077,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.154,0.198335144380328
0.043,0.043,0.043,0.000,0.000,0.174,0.087,0.000,0.087,0.000,0.043,0.000,0.043,0.000,0.043,0.130,0.087,0.000,0.043,0.130,0.287779245358538
0.565,0.000,0.000,0.000,0.000,0.000,0.217,0.043,0.000,0.000,0.043,0.043,0.000,0.000,0.000,0.087,0.000,0.000,0.000,0.000,0.374720192465743
0.100,0.050,0.000,0.100,0.000,0.450,0.000,0.000,0.050,0.100,0.050,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.050,0.25223618128652
0.167,0.056,0.000,0.000,0.000,0.222,0.056,0.056,0.111,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.285127974231981
