@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data

14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.356,0.284,0.357,0.626888
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.600,0.895312
29,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0.172,0.344,0.482,0.502766
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.355490
23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.434,0.216,0.303,0.360559
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.353,0.236,0.412,0.604852
15,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.466,0.268,0.267,0.470750
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.499,0.250,0.249,0.338647
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0.273,0.182,0.321479
49,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0.591,0.245,0.142,0.318734
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.166,0.249,0.344333
18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.223,0.279,0.356665
17,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.472,0.294,0.236,0.302306
22,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.090,0.318,0.293402
24,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.417,0.375,0.084,0.274052
13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.385,0.385,0.154,0.278152
13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0.231,0.077,0.248513
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.308,0.154,0.286884
22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.226,0.591,0.297666
22,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.454,0.090,0.454,0.247870
13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0.154,0.231,0.263859
21,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.430,0.238,0.334,0.236189
19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.264,0.263,0.273788
17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0.177,0.354,0.310549
15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.334,0.267,0.401,0.353116
18,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.167,0.446,0.330846
20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.350,0.250,0.400,0.225156
19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.211,0.264,0.474,0.223726
16,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.562,0.249,0.186,0.224119
20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.350,0.200,0.400,0.273611
21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.334,0.334,0.334,0.232735
15,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.535,0.200,0.267,0.250134
40,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0.375,0.200,0.325,0.220325
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.648,0.059,0.236,0.301727
18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.334,0.223,0.446,0.213718
16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.312,0.312,0.250,0.264908
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0.312,0.187,0.227433
27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0.111,0.370,0.215512
22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.545,0.135,0.226,0.242877
24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.376,0.209,0.376,0.212789
29,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0.482,0.310,0.206,0.243263
