@relation errorPredict

@attribute CGend real
@attribute agadir real
@attribute errorPercent real


@data
0,0,0.626888019
0,0,0.895312332
0,0.05,0.502765818
0,0,0.355489772
0,0.21,0.360559364
0,0.63,0.604851931
0,0.06,0.470750353
1,0.09,0.338647072
0,0.01,0.321478629
0,1.16,0.318734014
1,0.01,0.344332511
1,0.07,0.356665024
0,0.5,0.302305565
0,1.3,0.293402289
0,0.16,0.274052365
0,2.04,0.278152044
0,0.34,0.248512694
0,0.86,0.286883658
0,0.23,0.297665845
0,0.09,0.247869765
1,0.06,0.26385909
0,0.07,0.236188871
0,0.37,0.273788031
0,0.63,0.310549287
0,0.01,0.353116362
0,0.14,0.330845814
0,0.58,0.225156359
1,0.12,0.223726313
0,0.46,0.224118725
0,0.2,0.273610646
0,0.87,0.232734617
0,0.66,0.25013415
0,0.12,0.220324676
1,1.2,0.301727288
1,0.42,0.213718381
0,0.15,0.264907801
0,0.52,0.22743319
0,0.35,0.21551194
0,1.74,0.242876652
0,0.47,0.212789279
1,0.04,0.24326347
0,0.04,0.357762878
0,0.02,0.244798168
0,0.21,0.21334098
0,0.36,0.257652776
0,1.43,0.202769786
0,0.5,0.282388946
0,0.28,0.345250862
0,2.6,0.217785268
1,0.31,0.303503366
0,1.5,0.198335144
0,0.76,0.287779245
0,5.22,0.374720192
0,0.7,0.252236181
0,0.22,0.285127974
0,0.16,0.190980682
0,0.67,0.209693723
0,0.22,0.283257861
0,0.28,0.215401712
1,0.17,0.237745182
1,0.26,0.271943561
0,0.35,0.189203701
0,0.82,0.228533692
0,1.41,0.202840307
0,0.23,0.227647417
0,0.51,0.26498303
1,0.26,0.188328316
0,0.4,0.184677419
0,0.24,0.183012927
0,1.02,0.214948338
0,0.74,0.181114281
0,0.82,0.180557979
0,1.52,0.18719297
1,0.23,0.194544683
0,0.33,0.176834479
0,0.08,0.411498786
0,0.39,0.247798831
0,0.96,0.189893699
0,0.15,0.178844326
0,0.07,0.173573604
0,1.64,0.204706993
0,1.35,0.171022071
0,0.08,0.171193471
0,0.16,0.175775558
0,0.38,0.187051631
0,0.91,0.292519345
0,0.09,0.169225001
0,9.41,0.220337683
0,2.34,0.179509329
0,0.48,0.166730785
0,0.19,0.229538673
0,0.16,0.166219464
0,1.47,0.171028372
0,0.16,0.195055374
0,0.48,0.197885239
0,0.16,0.194002931
0,3.91,0.187376517
0,1.29,0.169109195
0,0.29,0.167349443
0,0.08,0.19342695
0,0.12,0.258934134
0,0.56,0.265485491
0,0.78,0.214192008
0,0.45,0.16293005
0,0.11,0.169202745
0,5.11,0.18055513
0,0.38,0.159261234
0,0.24,0.168493308
0,0.56,0.160891186
0,1.21,0.172019803
0,0.11,0.158717657
1,0.41,0.20073222
0,0.28,0.189399811
0,0.05,0.165754371
0,0.41,0.164683169
0,0.19,0.180572713
0,1.34,0.191594011
0,1.03,0.16553301
0,0.34,0.205824143
0,0.9,0.206102652
0,0.17,0.157206587
0,0.4,0.169838283
0,0.66,0.209004303
0,0.3,0.194819721
1,0.15,0.168325153
0,6.05,0.181889732
0,0.78,0.163849752
0,0.11,0.156188017
0,0.51,0.169265449
0,0.14,0.161282884
0,0.18,0.181008157
0,0.44,0.166653312
0,0.34,0.171438996
0,1.5,0.175903926
0,2.89,0.154792525
0,0.25,0.187183586
0,1.49,0.193993899
0,0.23,0.169244427
0,0.99,0.198028651
0,1.11,0.153077037
0,0.17,0.236859973
0,0.12,0.183607052
1,0.07,0.155587027
0,1.88,0.151245739
0,0.45,0.161249782
0,0.14,0.180166104
0,0.77,0.151088644
0,0.5,0.156766916
1,0.13,0.159186336
0,0.88,0.194489276
0,0.78,0.176064241
0,0.56,0.171919784
0,0.32,0.267618961
0,0.21,0.156865968
0,0.08,0.162437371
0,0.59,0.186271194
0,0.23,0.197293221
0,0.9,0.169779448
0,0.18,0.227797187
0,2.44,0.162694417
0,0.25,0.150480968
1,0.35,0.161353401
0,1.05,0.163097812
1,0.4,0.147210188
0,0.09,0.203676479
0,1.15,0.191870894
1,0.29,0.345704355
0,1.09,0.172837314
0,3.78,0.143769881
0,0.21,0.143823328
0,0.38,0.141750108
0,1.13,0.146977972
0,0.16,0.204588482
0,1.5,0.176425907
0,0.25,0.161907683
0,0.16,0.167583873
0,0.86,0.158839013
0,1.01,0.142519454
0,0.3,0.160357871
0,0.65,0.15413596
0,1.38,0.164886155
0,0.22,0.140559622
0,0.21,0.164533332
0,1.79,0.146327862
0,0.57,0.141438333
0,0.44,0.140738516
0,3.17,0.162549363
0,0.33,0.170643357
0,0.53,0.194650745
0,1.43,0.15237885
0,0.06,0.282148247
0,0.14,0.257454248
0,1.35,0.239276748
0,0.7,0.138637548
0,1.94,0.187767584
0,0.96,0.143763137
0,0.81,0.14109657
0,0.12,0.137999906
0,0.62,0.137716484
0,0.82,0.18311537
1,0.4,0.191026141
0,0.9,0.159315256
0,3.74,0.136569984
0,0.66,0.149323192
0,1.12,0.153725673
0,1.2,0.135365088
0,0.16,0.157754253
0,0.41,0.160651159
0,0.48,0.185268914
0,0.36,0.141605245
0,0.06,0.234741308
0,11.7,0.137561675
0,1.34,0.152300312
0,0.94,0.135810821
0,5.56,0.332811781
0,0.93,0.146266037
0,0.25,0.15129198
0,0.08,0.156723241
0,0.11,0.146674801
0,0.38,0.151727435
0,0.97,0.136872659
0,0.58,0.14353528
0,0.33,0.157468327
0,0.29,0.183106313
0,0.21,0.138535532
0,0.59,0.140357968
0,0.18,0.221851225
0,1.24,0.133497108
0,0.39,0.168451672
0,0.73,0.147430236
0,0.14,0.180234089
0,0.08,0.14937656
0,0.51,0.133298721
0,0.54,0.16934316
0,0.99,0.188417722
0,0.24,0.141580562
0,0.16,0.172324381
0,0.17,0.163368429
1,0.23,0.133263021
0,0.26,0.153530894
0,0.29,0.131879918
0,0.23,0.202609299
0,0.15,0.151109366
1,0.09,0.165761003
0,2.12,0.145166843
0,0.09,0.1317618
0,0.18,0.175314404
1,0.12,0.158917356
0,0.2,0.131233092
1,0.29,0.194113162
0,0.17,0.177500612
0,0.97,0.16720041
0,0.06,0.180516412
0,0.82,0.146332666
0,0.09,0.220927838
0,0.09,0.216546298
0,0.25,0.128857632
0,0.17,0.172147515
0,0.19,0.142495286
0,0.36,0.133978625
0,0.2,0.143079309
0,0.46,0.199302414
0,0.27,0.127856862
0,0.21,0.126715859
0,0.27,0.126238569
0,0.57,0.127617421
0,0.33,0.154361972
1,0.14,0.173510715
0,0.14,0.126727143
0,0.58,0.126566484
0,1.02,0.132765308
0,1.11,0.146109792
0,0.4,0.143355962
0,0.34,0.163774734
0,0.01,0.247207374
0,0.03,0.174374025
0,0.18,0.13377419
0,0.6,0.169192411
0,0.08,0.135526099
0,0.44,0.134456701
0,0.21,0.207493878
0,0.42,0.13951472
0,0.22,0.148358228
0,0.11,0.142694232
0,0.89,0.177799946
0,0.17,0.132015414
0,0.18,0.161622924
0,0.39,0.164384836
0,0.47,0.123100298
0,0.89,0.124744119
0,0.15,0.159629797
0,0.61,0.194145357
0,0.12,0.172892384
0,0.58,0.156252311
0,1.68,0.126888181
0,0.18,0.179790429
0,0.34,0.121552353
0,0.18,0.124755872
0,0.38,0.12217795
0,0.18,0.17297128
